epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8576,1.09412,7.71005,0.01611,0.58739,0.31237,0.35008,0.28654,0.76672,9.86334,0.01693,0.000287053,0.000287053,0.000287053
2,59.6457,1.09774,4.72122,0.01683,0.29743,0.398,0.33458,0.25288,1.02861,6.03685,0.02857,0.000575449,0.000575449,0.000575449
3,74.6219,1.20535,3.59277,0.01866,0.44279,0.36686,0.3398,0.23764,1.12187,4.6851,0.03137,0.000848847,0.000848847,0.000848847
4,89.723,1.26342,2.85505,0.02087,0.63991,0.33175,0.34528,0.23065,1.27263,3.45207,0.03588,0.000841507,0.000841507,0.000841507
5,105.713,1.1557,2.3433,0.01825,0.77636,0.44459,0.53505,0.35024,1.32108,2.75086,0.03675,0.000819009,0.000819009,0.000819009
6,121.632,1.19013,2.05124,0.01887,0.46184,0.53483,0.55818,0.3914,1.33065,2.0628,0.03672,0.000796511,0.000796511,0.000796511
7,137.011,1.13372,1.89074,0.01759,0.78318,0.48075,0.5466,0.38656,1.24255,1.85426,0.03323,0.000774013,0.000774013,0.000774013
8,152.647,1.14469,1.7542,0.01764,0.74926,0.49865,0.57863,0.40511,1.14711,1.74656,0.03197,0.000751516,0.000751516,0.000751516
9,167.393,1.16064,1.66659,0.01743,0.79683,0.63897,0.69491,0.47946,1.19182,1.49391,0.03319,0.000729018,0.000729018,0.000729018
10,181.651,1.22128,1.6291,0.01852,0.82412,0.61494,0.73003,0.54991,1.08764,1.28318,0.0278,0.00070652,0.00070652,0.00070652
11,196.167,1.18956,1.47064,0.01848,0.82298,0.65763,0.79103,0.54366,1.29847,1.2327,0.03528,0.000684022,0.000684022,0.000684022
12,212.755,1.19484,1.38412,0.01944,0.74244,0.72639,0.7221,0.50652,1.19604,1.25713,0.03378,0.000661525,0.000661525,0.000661525
13,228.533,1.10037,1.37284,0.01616,0.86407,0.66978,0.76681,0.5973,1.08212,1.10216,0.03042,0.000639027,0.000639027,0.000639027
14,242.963,1.06448,1.3141,0.0171,0.8155,0.79746,0.87174,0.67423,1.06173,0.82985,0.02715,0.000616529,0.000616529,0.000616529
15,257.961,1.07153,1.26419,0.01676,0.69265,0.72648,0.78961,0.59886,1.04775,0.97203,0.02975,0.000594031,0.000594031,0.000594031
16,273.262,1.032,1.15574,0.01488,0.70716,0.75624,0.8031,0.61527,1.02947,1.06771,0.02635,0.000571534,0.000571534,0.000571534
17,289.015,1.07054,1.12216,0.01647,0.81692,0.76044,0.8871,0.69019,0.89773,0.74198,0.02107,0.000549036,0.000549036,0.000549036
18,303.723,1.00794,1.09531,0.01548,0.70963,0.72131,0.80031,0.65222,0.80458,0.80808,0.01937,0.000526538,0.000526538,0.000526538
19,319.164,0.93861,1.04738,0.01352,0.72726,0.78939,0.84154,0.67631,0.92351,0.63071,0.02378,0.00050404,0.00050404,0.00050404
20,334.286,0.99255,1.02232,0.0148,0.76937,0.8458,0.85755,0.71814,0.7976,0.61759,0.01988,0.000481543,0.000481543,0.000481543
21,350.466,0.96013,0.95849,0.01466,0.84056,0.84973,0.89168,0.70845,0.96527,0.60629,0.02487,0.000459045,0.000459045,0.000459045
22,365.475,1.00945,0.88333,0.01469,0.75021,0.83869,0.85193,0.67695,0.93516,0.75983,0.02226,0.000436547,0.000436547,0.000436547
23,380.548,0.95011,0.91118,0.01327,0.85281,0.84065,0.88495,0.72127,0.85187,0.64384,0.0206,0.000414049,0.000414049,0.000414049
24,396.711,0.94554,0.844,0.01482,0.80187,0.80949,0.89421,0.68336,1.05012,0.66916,0.02991,0.000391552,0.000391552,0.000391552
25,411.946,0.94553,0.86779,0.01427,0.7981,0.82351,0.90413,0.74612,0.76172,0.58674,0.01761,0.000369054,0.000369054,0.000369054
26,427.035,0.91907,0.84167,0.01346,0.80655,0.87057,0.90339,0.74212,0.81465,0.53878,0.02066,0.000346556,0.000346556,0.000346556
27,443.028,0.85173,0.7735,0.01281,0.86628,0.83219,0.89969,0.7492,0.76438,0.50317,0.01817,0.000324058,0.000324058,0.000324058
28,457.675,0.8341,0.73705,0.01241,0.88827,0.85417,0.93073,0.74603,0.8185,0.59313,0.02109,0.000301561,0.000301561,0.000301561
29,473.509,0.84986,0.74898,0.0125,0.85496,0.89695,0.92796,0.77352,0.70724,0.52959,0.01602,0.000279063,0.000279063,0.000279063
30,489.673,0.84587,0.72326,0.01254,0.83655,0.8591,0.9184,0.77744,0.70367,0.54933,0.01682,0.000256565,0.000256565,0.000256565
31,509.922,0.64872,0.42678,0.01392,0.87451,0.8632,0.91045,0.76123,0.77165,0.54622,0.0195,0.000234068,0.000234068,0.000234068
32,525.502,0.61418,0.37185,0.01271,0.82868,0.86314,0.90083,0.77764,0.68244,0.51561,0.01587,0.00021157,0.00021157,0.00021157
33,541.092,0.58442,0.33785,0.01177,0.83026,0.82945,0.8987,0.77521,0.63572,0.48796,0.01504,0.000189072,0.000189072,0.000189072
34,556.635,0.59526,0.34922,0.01264,0.79058,0.87494,0.89364,0.77639,0.58343,0.47829,0.01326,0.000166574,0.000166574,0.000166574
35,570.022,0.56449,0.31878,0.0106,0.82507,0.85505,0.89249,0.7794,0.60799,0.44976,0.01329,0.000144077,0.000144077,0.000144077
36,584.393,0.55311,0.29884,0.0115,0.86041,0.86504,0.90158,0.78829,0.61558,0.41854,0.01377,0.000121579,0.000121579,0.000121579
37,600.05,0.54761,0.30997,0.01132,0.92818,0.86124,0.91402,0.79651,0.63355,0.41038,0.01453,9.9081e-05,9.9081e-05,9.9081e-05
38,614.762,0.52445,0.2719,0.01024,0.94198,0.87,0.92166,0.8083,0.60081,0.40218,0.01332,7.65832e-05,7.65832e-05,7.65832e-05
39,629.264,0.49279,0.23992,0.00921,0.94145,0.88242,0.92095,0.81539,0.60193,0.38694,0.01327,5.40855e-05,5.40855e-05,5.40855e-05
40,643.567,0.49835,0.27993,0.00985,0.92156,0.88748,0.92472,0.81597,0.5983,0.3929,0.01305,3.15878e-05,3.15878e-05,3.15878e-05
